nome,preco,loja_nome ,img_link
Computador Cpu I5 Hp Elite 6gb 500gb Win 7 Pro,999.0,,"https://http2.mlstatic.com/computador-cpu-i5-hp-elite-6gb-500gb-win-7-pro-D_NQ_NP_22337-MLB20228942884_012015-F.jpg,https://http2.mlstatic.com/computador-cpu-i5-hp-elite-6gb-500gb-win-7-pro-D_NQ_NP_22393-MLB20228943338_012015-F.jpg,https://http2.mlstatic.com/computador-cpu-i5-hp-elite-6gb-500gb-win-7-pro-D_NQ_NP_22396-MLB20228944198_012015-F.jpg,https://http2.mlstatic.com/computador-cpu-i5-hp-elite-6gb-500gb-win-7-pro-D_NQ_NP_22329-MLB20228944204_012015-F.jpg"
Pc Cpu Intel Core I3 2ªg+4gb+hd 500gb!,1049.99,,"https://http2.mlstatic.com/pc-cpu-intel-core-i3-2g-4gb-hd-500gb-D_NQ_NP_763477-MLB27866422167_072018-F.jpg,https://http2.mlstatic.com/intel-core-500gb-D_NQ_NP_787180-MLB27871131761_072018-F.jpg,https://http2.mlstatic.com/core-500gb-intel-D_NQ_NP_893696-MLB28303468125_102018-F.jpg,https://http2.mlstatic.com/pc-cpu-intel-core-i3-2g-4gb-hd-500gb-D_NQ_NP_798326-MLB26643962853_012018-F.jpg"
"Desktop Cpu Core I3, 4gb, 500gb Promoção",929.0,,"https://http2.mlstatic.com/desktop-cpu-core-i3-4gb-500gb-promoco-D_NQ_NP_756299-MLB26200876121_102017-F.jpg,https://http2.mlstatic.com/desktop-cpu-core-i3-4gb-500gb-promoco-D_NQ_NP_791913-MLB26028132748_092017-F.jpg,https://http2.mlstatic.com/desktop-cpu-core-i3-4gb-500gb-promoco-D_NQ_NP_844792-MLB26074215934_092017-F.jpg,https://http2.mlstatic.com/desktop-cpu-core-i3-4gb-500gb-promoco-D_NQ_NP_903698-MLB27137528603_042018-F.jpg"
Cpu Core I5 2ªg  4gb 500gb C/ Win 7 Ativo!,1199.99,,"https://http2.mlstatic.com/cpu-core-i5-2g-4gb-500gb-c-win-7-ativo-D_NQ_NP_623038-MLB27923920149_082018-F.jpg,https://http2.mlstatic.com/cpu-core-i5-2g-4gb-500gb-c-win-7-ativo-D_NQ_NP_882542-MLB27923931108_082018-F.jpg,https://http2.mlstatic.com/cpu-core-i5-2g-4gb-500gb-c-win-7-ativo-D_NQ_NP_736650-MLB28238124574_092018-F.jpg,https://http2.mlstatic.com/cpu-core-i5-2g-4gb-500gb-c-win-7-ativo-D_NQ_NP_885197-MLB28303468136_102018-F.jpg,https://http2.mlstatic.com/cpu-core-i5-2g-4gb-500gb-c-win-7-ativo-D_NQ_NP_812328-MLB25869463261_082017-F.jpg"
Cpu Gamer Intel Core I7 16gb Gtx 1050ti Hd 1tb Wifi Black,3790.0,,"https://http2.mlstatic.com/cpu-gamer-intel-core-i7-16gb-gtx-1050ti-hd-1tb-wifi-black-D_NQ_NP_606321-MLB26968055539_032018-F.jpg,https://http2.mlstatic.com/intel-core-1tb-D_NQ_NP_812491-MLB26967974156_032018-F.jpg,https://http2.mlstatic.com/core-1tb-intel-D_NQ_NP_748893-MLB26967973705_032018-F.jpg,https://http2.mlstatic.com/cpu-gamer-intel-core-i7-16gb-gtx-1050ti-hd-1tb-wifi-black-D_NQ_NP_865482-MLB26967957909_032018-F.jpg,https://http2.mlstatic.com/intel-core-1tb-D_NQ_NP_684348-MLB26968047092_032018-F.jpg,https://http2.mlstatic.com/core-1tb-intel-D_NQ_NP_804430-MLB26968021477_032018-F.jpg,https://http2.mlstatic.com/cpu-gamer-intel-core-i7-16gb-gtx-1050ti-hd-1tb-wifi-black-D_NQ_NP_805572-MLB26968106741_032018-F.jpg,https://http2.mlstatic.com/intel-core-1tb-D_NQ_NP_636143-MLB26968083997_032018-F.jpg"
Cpu Gamer I5 + 8gb+ 1tb  Wifi E Vga 2gb Promoção De Natal !!,1659.0,,"https://http2.mlstatic.com/cpu-gamer-i5-8gb-1tb-wifi-e-vga-2gb-promoco-de-natal--D_NQ_NP_930719-MLB27647219559_062018-F.jpg,https://http2.mlstatic.com/cpu-gamer-i5-8gb-1tb-wifi-e-vga-2gb-promoco-de-natal--D_NQ_NP_689121-MLB27248012786_042018-F.jpg,https://http2.mlstatic.com/cpu-gamer-i5-8gb-1tb-wifi-e-vga-2gb-promoco-de-natal--D_NQ_NP_616461-MLB27126535390_042018-F.jpg,https://http2.mlstatic.com/cpu-gamer-i5-8gb-1tb-wifi-e-vga-2gb-promoco-de-natal--D_NQ_NP_304115-MLB25218876309_122016-F.jpg,https://http2.mlstatic.com/cpu-gamer-i5-8gb-1tb-wifi-e-vga-2gb-promoco-de-natal--D_NQ_NP_739250-MLB27126555238_042018-F.jpg,https://http2.mlstatic.com/cpu-gamer-i5-8gb-1tb-wifi-e-vga-2gb-promoco-de-natal--D_NQ_NP_603994-MLB27611439436_062018-F.jpg,https://http2.mlstatic.com/cpu-gamer-i5-8gb-1tb-wifi-e-vga-2gb-promoco-de-natal--D_NQ_NP_630086-MLB28091219701_092018-F.jpg,https://http2.mlstatic.com/cpu-gamer-i5-8gb-1tb-wifi-e-vga-2gb-promoco-de-natal--D_NQ_NP_850046-MLB28199960403_092018-F.jpg,https://http2.mlstatic.com/cpu-gamer-i5-8gb-1tb-wifi-e-vga-2gb-promoco-de-natal--D_NQ_NP_932474-MLB28200002512_092018-F.jpg"
"Pc Gamer I7, 16gb, 1tb, Geforce 4gb 1050 Gtx Ti, Fonte 610 W",3500.0,,"https://http2.mlstatic.com/pc-gamer-i7-16gb-1tb-geforce-4gb-1050-gtx-ti-fonte-610-w-D_NQ_NP_751328-MLB28839027315_112018-F.jpg,https://http2.mlstatic.com/pc-gamer-i7-16gb-1tb-geforce-4gb-1050-gtx-ti-fonte-610-w-D_NQ_NP_739646-MLB28839010423_112018-F.jpg,https://http2.mlstatic.com/pc-gamer-i7-16gb-1tb-geforce-4gb-1050-gtx-ti-fonte-610-w-D_NQ_NP_953881-MLB28839013917_112018-F.jpg,https://http2.mlstatic.com/pc-gamer-i7-16gb-1tb-geforce-4gb-1050-gtx-ti-fonte-610-w-D_NQ_NP_878347-MLB28839003470_112018-F.jpg,https://http2.mlstatic.com/pc-gamer-i7-16gb-1tb-geforce-4gb-1050-gtx-ti-fonte-610-w-D_NQ_NP_752817-MLB28839044696_112018-F.jpg,https://http2.mlstatic.com/pc-gamer-i7-16gb-1tb-geforce-4gb-1050-gtx-ti-fonte-610-w-D_NQ_NP_840716-MLB28197098053_092018-F.jpg,https://http2.mlstatic.com/pc-gamer-i7-16gb-1tb-geforce-4gb-1050-gtx-ti-fonte-610-w-D_NQ_NP_892619-MLB28197150016_092018-F.jpg,https://http2.mlstatic.com/pc-gamer-i7-16gb-1tb-geforce-4gb-1050-gtx-ti-fonte-610-w-D_NQ_NP_961797-MLB28196936885_092018-F.jpg,https://http2.mlstatic.com/pc-gamer-i7-16gb-1tb-geforce-4gb-1050-gtx-ti-fonte-610-w-D_NQ_NP_697783-MLB28196813496_092018-F.jpg"
Cpu Pc Intel Core I5 3.3 4gb Hd 500 C/ Garantia  1 Ano,999.0,,https://http2.mlstatic.com/intel-core-500-D_NQ_NP_862828-MLB27874456465_072018-F.jpg
Micro Computador Intel Core 2 Duo 4gb 500gb Windows 7 + Wifi,594.49,,"https://http2.mlstatic.com/micro-computador-intel-core-2-duo-4gb-500gb-windows-7-wifi-D_NQ_NP_898301-MLB27590111313_062018-F.jpg,https://http2.mlstatic.com/computador-intel-core-duo-500gb-D_NQ_NP_761361-MLB27590108321_062018-F.jpg,https://http2.mlstatic.com/core-duo-500gb-computador-intel-D_NQ_NP_843245-MLB27590122675_062018-F.jpg,https://http2.mlstatic.com/micro-computador-intel-core-2-duo-4gb-500gb-windows-7-wifi-D_NQ_NP_744593-MLB28102921475_092018-F.jpg,https://http2.mlstatic.com/computador-intel-core-duo-500gb-D_NQ_NP_932417-MLB28102945721_092018-F.jpg,https://http2.mlstatic.com/core-duo-500gb-computador-intel-D_NQ_NP_796708-MLB28102950672_092018-F.jpg,https://http2.mlstatic.com/micro-computador-intel-core-2-duo-4gb-500gb-windows-7-wifi-D_NQ_NP_863999-MLB28102930423_092018-F.jpg"
Pc Gamer Completo I5 + Gtx 1050ti 4 Gb Jogos E Edição,3141.5,,"https://http2.mlstatic.com/pc-gamer-completo-i5-gtx-1050ti-4-gb-jogos-e-edico-D_NQ_NP_620935-MLB28968456879_122018-F.jpg,https://http2.mlstatic.com/pc-gamer-completo-i5-gtx-1050ti-4-gb-jogos-e-edico-D_NQ_NP_854000-MLB28968551550_122018-F.jpg,https://http2.mlstatic.com/pc-gamer-completo-i5-gtx-1050ti-4-gb-jogos-e-edico-D_NQ_NP_894838-MLB28968478788_122018-F.jpg,https://http2.mlstatic.com/pc-gamer-completo-i5-gtx-1050ti-4-gb-jogos-e-edico-D_NQ_NP_799055-MLB28968438499_122018-F.jpg,https://http2.mlstatic.com/pc-gamer-completo-i5-gtx-1050ti-4-gb-jogos-e-edico-D_NQ_NP_845298-MLB28968468819_122018-F.jpg,https://http2.mlstatic.com/pc-gamer-completo-i5-gtx-1050ti-4-gb-jogos-e-edico-D_NQ_NP_778387-MLB29027009383_122018-F.jpg,https://http2.mlstatic.com/pc-gamer-completo-i5-gtx-1050ti-4-gb-jogos-e-edico-D_NQ_NP_861709-MLB29027036130_122018-F.jpg"
