nome,preco,loja_nome ,img_link
Whey Isolado Isolate Definition 2kg - Body Action - Val.2020,149.9,,"https://http2.mlstatic.com/whey-isolado-isolate-definition-2kg-body-action-val2020-D_NQ_NP_976008-MLB27595509814_062018-F.jpg,https://http2.mlstatic.com/whey-body-action-D_NQ_NP_743311-MLB27244270515_042018-F.jpg"
Whey Isolado - 100% Isolado Blend 2kg Sabores- Giants,69.9,,"https://http2.mlstatic.com/whey-isolado-100-isolado-blend-2kg-sabores-giants-D_NQ_NP_628613-MLB27378751649_052018-F.jpg,https://http2.mlstatic.com/whey-isolado-100-isolado-blend-2kg-sabores-giants-D_NQ_NP_855208-MLB27379057777_052018-F.jpg"
Kit 2 Desinchá 60 Sachês Chá Para Emagrecer + Óleo De Coco,159.9,,"https://http2.mlstatic.com/kit-2-desincha-60-sachs-cha-para-emagrecer-oleo-de-coco-D_NQ_NP_890907-MLB28955693937_122018-F.jpg,https://http2.mlstatic.com/kit-2-desincha-60-sachs-cha-para-emagrecer-oleo-de-coco-D_NQ_NP_736108-MLB27929377425_082018-F.jpg"
Kit 3 Whey Protein Refil 6kg Isolado 5w Dark Insane Promoção,109.49,,"https://http2.mlstatic.com/kit-3-whey-protein-refil-6kg-isolado-5w-dark-insane-promoco-D_NQ_NP_691855-MLB28839425536_112018-F.jpg,https://http2.mlstatic.com/kit-3-whey-protein-refil-6kg-isolado-5w-dark-insane-promoco-D_NQ_NP_843171-MLB28146811679_092018-F.jpg,https://http2.mlstatic.com/kit-3-whey-protein-refil-6kg-isolado-5w-dark-insane-promoco-D_NQ_NP_702372-MLB28146785475_092018-F.jpg,https://http2.mlstatic.com/kit-3-whey-protein-refil-6kg-isolado-5w-dark-insane-promoco-D_NQ_NP_719283-MLB28146810686_092018-F.jpg,https://http2.mlstatic.com/kit-3-whey-protein-refil-6kg-isolado-5w-dark-insane-promoco-D_NQ_NP_751368-MLB28146791421_092018-F.jpg"
Combo Duplo Whey Fusion + 2x Bcaa + 2x Creatina + Shaker,159.0,,"https://http2.mlstatic.com/combo-duplo-whey-fusion-2x-bcaa-2x-creatina-shaker-D_NQ_NP_687102-MLB27682239740_072018-F.jpg,https://http2.mlstatic.com/combo-duplo-whey-fusion-2x-bcaa-2x-creatina-shaker-D_NQ_NP_846193-MLB27682239732_072018-F.jpg"
7 Colágeno Hidrolisado C/ Betacaroteno + Vitamina C 840 Caps,129.99,,"https://http2.mlstatic.com/7-colageno-hidrolisado-c-betacaroteno-vitamina-c-840-caps-D_NQ_NP_827063-MLB27882220876_082018-F.jpg,https://http2.mlstatic.com/7-colageno-hidrolisado-c-betacaroteno-vitamina-c-840-caps-D_NQ_NP_936060-MLB27672193818_072018-F.jpg"
100% Pure Whey Protein (2000g) Oferta - Probiótica,168.9,,"https://http2.mlstatic.com/100-pure-whey-protein-2000g-oferta-probiotica-D_NQ_NP_922535-MLB25845799549_082017-F.jpg,https://http2.mlstatic.com/whey-protein-probiotica-D_NQ_NP_948182-MLB27661518130_062018-F.jpg,https://http2.mlstatic.com/protein-probiotica-whey-D_NQ_NP_625908-MLB25845799550_082017-F.jpg,https://http2.mlstatic.com/100-pure-whey-protein-2000g-oferta-probiotica-D_NQ_NP_835947-MLB27661512210_062018-F.jpg,https://http2.mlstatic.com/whey-protein-probiotica-D_NQ_NP_845873-MLB25845799548_082017-F.jpg"
Mega Dha - 1500mg Dha/300mg Epa Promoção (120 Caps)  Vitafor,95.0,,"https://http2.mlstatic.com/mega-dha-1500mg-dha300mg-epa-promoco-120-caps-vitafor-D_NQ_NP_616829-MLB28218703913_092018-F.jpg,https://http2.mlstatic.com/mega-dha-1500mg-dha300mg-epa-promoco-120-caps-vitafor-D_NQ_NP_692249-MLB27068967655_032018-F.jpg,https://http2.mlstatic.com/mega-dha-1500mg-dha300mg-epa-promoco-120-caps-vitafor-D_NQ_NP_623795-MLB27940487576_082018-F.jpg,https://http2.mlstatic.com/mega-dha-1500mg-dha300mg-epa-promoco-120-caps-vitafor-D_NQ_NP_849389-MLB25864770072_082017-F.jpg,https://http2.mlstatic.com/mega-dha-1500mg-dha300mg-epa-promoco-120-caps-vitafor-D_NQ_NP_966181-MLB27068943870_032018-F.jpg"
Combo 4x Whey Isolate Protein Isolado Mix 900g + Coq Grátis,119.9,,"https://http2.mlstatic.com/combo-4x-whey-isolate-protein-isolado-mix-900g-coq-gratis-D_NQ_NP_713990-MLB28296366193_102018-F.jpg,https://http2.mlstatic.com/combo-4x-whey-isolate-protein-isolado-mix-900g-coq-gratis-D_NQ_NP_646910-MLB27277851036_052018-F.jpg,https://http2.mlstatic.com/combo-4x-whey-isolate-protein-isolado-mix-900g-coq-gratis-D_NQ_NP_628117-MLB27277837166_052018-F.jpg,https://http2.mlstatic.com/combo-4x-whey-isolate-protein-isolado-mix-900g-coq-gratis-D_NQ_NP_687727-MLB27277824241_052018-F.jpg,https://http2.mlstatic.com/combo-4x-whey-isolate-protein-isolado-mix-900g-coq-gratis-D_NQ_NP_904453-MLB27277839145_052018-F.jpg,https://http2.mlstatic.com/combo-4x-whey-isolate-protein-isolado-mix-900g-coq-gratis-D_NQ_NP_797057-MLB27891759286_082018-F.jpg"
Diabo Verde Ftw Termogênico 420mg Cafeina - 60 Caps,32.0,,"https://http2.mlstatic.com/diabo-verde-ftw-termognico-420mg-cafeina-60-caps-D_NQ_NP_712954-MLB26315155736_112017-F.jpg,https://http2.mlstatic.com/diabo-verde-ftw-termognico-420mg-cafeina-60-caps-D_NQ_NP_926487-MLB26315155737_112017-F.jpg"
